,Loss
0,698.00464
1,709.1902
2,732.02856
3,710.1885
4,710.7042
5,637.1027
6,656.7421
7,675.37646
8,654.57446
9,694.64136
10,609.7638
11,655.77686
12,637.8159
13,637.67645
14,675.56165
15,640.2661
16,594.05896
17,615.13513
18,644.8247
19,602.2504
20,676.9126
21,671.55426
22,679.2395
23,705.21765
24,623.5262
25,705.0076
26,630.18677
27,586.57446
28,650.58606
29,595.1118
30,569.32336
31,658.4492
32,557.6822
33,614.1546
34,623.9419
35,598.23016
36,588.06836
37,621.16614
38,627.9434
39,603.5906
40,590.99976
41,550.2004
42,605.85284
43,647.0082
44,560.0895
45,577.65967
46,577.8651
47,607.72437
48,601.30743
49,614.0636
50,636.0454
51,565.619
52,601.1476
53,578.75574
54,549.6534
55,586.24884
56,602.07544
57,593.1775
58,553.1876
59,563.459
60,553.4679
61,613.9608
62,640.1542
63,571.25085
64,548.4765
65,601.5448
66,532.5327
67,570.6501
68,568.1736
69,584.89185
70,586.7727
71,541.89215
72,622.81024
73,579.1811
74,576.2479
75,569.2428
76,574.1377
77,547.2782
78,612.2892
79,641.86304
80,535.54504
81,593.5546
82,586.3025
83,543.8534
84,564.7041
85,553.29926
86,519.79944
87,544.98096
88,538.9652
89,601.76086
90,560.902
91,570.9232
92,523.95056
93,573.3788
94,531.2023
95,517.6656
96,593.6973
97,552.797
98,552.1034
99,526.8014
100,522.1338
101,583.5168
102,546.27856
103,582.74176
104,570.7385
105,489.78854
106,558.7897
107,553.619
108,587.2064
109,528.04553
110,607.6355
111,572.2774
112,535.02576
113,555.2262
114,518.3529
115,529.6902
116,528.2866
117,490.80124
118,471.0813
119,506.0286
120,529.24634
121,507.0418
122,471.41046
123,488.43384
124,456.08936
125,503.3008
126,493.0357
127,539.61957
128,561.8329
129,512.7309
130,484.09543
131,484.20975
132,518.2378
133,454.57227
134,521.83826
135,456.7414
136,512.3305
137,412.39102
138,495.79285
139,441.92987
140,535.1018
141,512.6228
142,439.41864
143,472.00702
144,454.05978
145,491.84808
146,462.95886
147,482.66324
148,554.1213
149,540.8922
150,426.56158
151,515.8893
152,515.6862
153,485.6721
154,387.3368
155,453.9054
156,502.5863
157,516.18365
158,429.10565
159,451.503
160,472.6257
161,422.63007
162,485.97656
163,409.58514
164,442.4635
165,506.40375
166,490.52078
167,470.38562
168,474.40952
169,481.55096
170,549.49634
171,463.6864
172,547.1763
173,474.76614
174,412.0134
175,494.22986
176,430.68536
177,525.6477
178,421.0642
179,484.80194
180,473.66376
181,473.18365
182,542.03394
183,409.56134
184,476.87207
185,474.91687
186,487.806
187,425.95032
188,485.70428
189,442.1161
190,456.52615
191,480.67624
192,502.66202
193,524.10913
194,437.28888
195,464.88977
196,458.03506
197,471.11188
198,513.1821
199,439.84665
200,484.77078
201,515.77124
202,466.82898
203,479.17035
204,521.10114
205,502.03784
206,431.70856
207,465.6297
208,453.17096
209,485.51822
210,440.86688
211,487.86914
212,465.2708
213,434.32227
214,434.96793
215,437.59747
216,453.5943
217,480.16727
218,458.6554
219,470.78522
220,424.16226
221,463.61288
222,406.58572
223,475.41092
224,437.81885
225,492.22552
226,439.4124
227,431.9743
228,449.9788
229,503.84415
230,370.64484
231,504.78717
232,392.84937
233,415.97418
234,430.9636
235,471.8352
236,450.5524
237,381.1759
238,450.44925
239,493.0572
240,475.05768
241,464.73038
242,427.15588
243,436.3052
244,360.95703
245,503.07092
246,445.23065
247,456.75305
248,421.68497
249,447.59744
250,421.76013
251,444.1914
252,454.45807
253,449.8944
254,439.75864
255,472.61203
256,478.58545
257,416.2943
258,419.9838
259,453.4154
260,446.47772
261,434.29507
262,494.1764
263,433.449
264,449.586
265,418.49945
266,481.1551
267,464.48938
268,481.61584
269,417.07492
270,388.08167
271,440.61993
272,455.37302
273,453.6923
274,452.1183
275,437.51758
276,400.40295
277,418.3171
278,462.69348
279,413.14685
280,451.83612
281,407.24295
282,480.58743
283,433.00623
284,408.58276
285,416.01434
286,406.11206
287,428.4876
288,447.42996
289,373.78674
290,493.08313
291,463.62808
292,386.48495
293,369.52002
294,409.24164
295,432.72186
296,433.22592
297,424.66473
298,457.31775
299,404.0741
300,443.47928
301,414.60236
302,400.12515
303,380.51813
304,458.9627
305,420.9401
306,455.46133
307,378.447
308,398.49356
309,486.2932
310,504.86615
311,421.3504
312,394.781
313,416.1579
314,392.38828
315,388.3924
316,452.88098
317,422.2104
318,394.3698
319,392.84805
320,427.76212
321,436.56522
322,372.0729
323,349.28613
324,453.01266
325,388.84818
326,408.834
327,403.42645
328,399.5411
329,408.59564
330,396.7174
331,424.86096
332,390.10242
333,357.98932
334,443.58832
335,368.3562
336,348.87146
337,399.22598
338,386.3104
339,350.87305
340,411.8306
341,395.9887
342,352.9203
343,379.96298
344,379.07336
345,416.96155
346,342.30182
347,373.0862
348,394.1684
349,343.88358
350,382.3116
351,373.23865
352,396.31488
353,380.34467
354,372.22482
355,372.81918
356,417.0625
357,418.35315
358,362.81323
359,359.27542
360,387.9583
361,374.1579
362,350.50806
363,348.814
364,338.7107
365,388.09308
366,398.31564
367,392.82968
368,388.92535
369,362.06335
370,361.1944
371,338.53204
372,329.71606
373,350.30603
374,409.71228
375,376.3004
376,409.2417
377,374.04584
378,400.36447
379,351.04626
380,396.29797
381,390.97498
382,363.3728
383,355.20294
384,372.51624
385,362.99692
386,396.662
387,321.24606
388,318.46686
389,366.34412
390,290.69116
391,350.12573
392,337.81985
393,340.5247
394,328.91275
395,405.44675
396,350.6396
397,324.6711
398,308.07217
399,346.17444
400,365.4251
401,371.85928
402,404.7844
403,388.76413
404,358.44998
405,342.79263
406,296.1825
407,376.97107
408,364.34637
409,389.45004
410,300.17828
411,343.97464
412,400.10825
413,355.00348
414,348.43665
415,300.91455
416,290.9148
417,352.43073
418,326.76154
419,377.19867
420,348.17834
421,354.7217
422,349.37048
423,343.5681
424,355.90408
425,360.38815
426,356.92764
427,339.28952
428,326.6671
429,364.9829
430,324.99615
431,317.13208
432,342.36218
433,389.38098
434,345.84607
435,374.04242
436,333.1428
437,301.0231
438,351.69098
439,359.36957
440,307.4183
441,340.88086
442,350.5976
443,337.07553
444,338.53812
445,374.38794
446,377.9013
447,327.68097
448,323.61578
449,291.11462
450,271.5097
451,345.79153
452,284.99655
453,382.53403
454,330.77954
455,323.3307
456,355.96524
457,325.32098
458,299.62833
459,322.56622
460,296.95667
461,289.30963
462,335.54697
463,291.53644
464,317.2741
465,331.99194
466,368.1065
467,358.45038
468,337.95438
469,317.1353
470,362.45892
471,349.0573
472,349.70493
473,351.729
474,323.7672
475,298.08105
476,356.19885
477,358.32306
478,292.9668
479,364.7571
480,329.2677
481,299.01196
482,309.53436
483,326.97705
484,350.15305
485,382.18707
486,348.33066
487,358.51447
488,292.33746
489,343.3855
490,362.6162
491,353.4796
492,357.5393
493,317.822
494,275.843
495,318.73438
496,316.43054
497,322.53717
498,312.33545
499,317.21616
500,291.5761
501,295.11575
502,379.87653
503,281.06848
504,377.6142
505,371.04498
506,340.50296
507,337.16602
508,285.63474
509,314.68762
510,329.31934
511,338.44467
512,354.98312
513,367.12308
514,370.76855
515,353.82672
516,333.08664
517,304.34167
518,318.5753
519,318.47125
520,351.45477
521,306.5619
522,303.57727
523,300.985
524,356.12784
525,350.12714
526,317.2352
527,281.03308
528,287.47192
529,344.96225
530,350.39102
531,256.7808
532,328.75482
533,347.88278
534,339.12018
535,334.71658
536,292.87735
537,343.68637
538,314.18103
539,263.99664
540,295.8064
541,307.69342
542,348.90274
543,311.81592
544,323.28186
545,322.73016
546,351.00916
547,352.04977
548,297.02844
549,285.75443
550,300.1726
551,348.0572
552,268.7477
553,297.03558
554,369.8457
555,295.7559
556,328.83655
557,320.73993
558,295.7824
559,315.78525
560,305.32742
561,302.32227
562,324.68134
563,299.54657
564,276.02264
565,340.23993
566,275.29028
567,294.687
568,306.65332
569,323.2496
570,349.00552
571,309.0141
572,276.85535
573,307.69806
574,357.48846
575,290.8515
576,284.6966
577,308.3094
578,291.8907
579,298.7411
580,323.99957
581,285.64862
582,279.73413
583,280.19403
584,261.26605
585,291.73306
586,303.58926
587,311.17114
588,321.43082
589,275.49054
590,300.13565
591,255.36842
592,282.73267
593,288.54382
594,293.54584
595,255.32935
596,283.22577
597,280.63495
598,260.65665
599,238.9855
600,270.11002
601,247.39899
602,262.49573
603,248.35757
604,254.1957
605,265.78503
606,280.52783
607,264.49054
608,269.1557
609,238.99995
610,270.15363
611,294.45627
612,245.88535
613,254.48587
614,245.04828
615,279.8107
616,255.48349
617,285.05368
618,240.74379
619,212.04509
620,288.4651
621,230.017
622,248.28146
623,263.2351
624,241.62717
625,253.62738
626,303.23315
627,282.24304
628,266.8919
629,278.64374
630,264.6753
631,295.70465
632,254.94179
633,249.78818
634,253.02206
635,248.13138
636,285.70245
637,233.92448
638,237.00302
639,267.23676
640,223.02094
641,254.02222
642,269.1225
643,225.5954
644,263.8377
645,223.32303
646,245.51834
647,276.20636
648,251.39027
649,274.4645
650,261.48904
651,261.23358
652,245.38464
653,241.32352
654,271.03287
655,223.84164
656,269.2349
657,259.2351
658,274.62485
659,240.6966
660,284.58713
661,283.59076
662,259.29614
663,220.6586
664,281.80783
665,285.81702
666,215.65427
667,232.65231
668,268.28473
669,241.20692
670,254.03886
671,265.16028
672,218.02245
673,226.10045
674,256.17963
675,280.88873
676,238.82135
677,229.55
678,245.47238
679,275.92075
680,268.1833
681,261.44452
682,241.0275
683,251.85046
684,256.5779
685,244.25606
686,240.62415
687,284.0104
688,290.86124
689,283.7912
690,237.92769
691,281.30127
692,251.10283
693,240.5584
694,259.1311
695,245.2573
696,237.3547
697,224.3183
698,232.73935
699,252.12076
700,262.17737
701,228.66075
702,258.99512
703,252.16237
704,273.24384
705,260.227
706,251.411
707,263.10303
708,220.96866
709,239.05945
710,284.34415
711,235.98886
712,269.80737
713,242.86154
714,261.6131
715,271.77292
716,267.0031
717,231.68709
718,211.61497
719,218.42737
720,243.739
721,230.76622
722,209.59203
723,244.40799
724,221.04329
725,262.45593
726,215.60301
727,252.52164
728,266.70178
729,238.63748
730,226.71646
731,223.06215
732,241.2289
733,206.28674
734,269.97342
735,239.02261
736,244.94534
737,249.55202
738,204.58719
739,286.74915
740,225.88614
741,218.09224
742,239.40067
743,230.60007
744,255.13829
745,213.30402
746,203.65579
747,205.11597
748,244.8641
749,211.50204
750,224.95636
751,240.1879
752,243.39784
753,245.77731
754,211.23099
755,247.59723
756,217.09428
757,235.01309
758,206.26952
759,237.58212
760,232.84863
761,230.57164
762,211.73402
763,229.94777
764,242.99718
765,261.02225
766,274.41547
767,208.72751
768,238.32462
769,227.07181
770,253.8607
771,203.38878
772,208.03906
773,232.68695
774,232.46579
775,207.19978
776,237.33206
777,235.14507
778,251.81995
779,209.8172
780,241.65195
781,220.70929
